input,rank,,
medium-56,1,,
medium-58,1,,
medium-59,1,,
medium-6,1,,
medium-60,1,,
medium-61,1,,
medium-62,1,,
medium-68,1,,
medium-69,1,,
medium-70,1,,
medium-71,1,,
medium-73,1,,
medium-74,1,,
medium-76,1,,
medium-79,1,,
medium-8,1,,
medium-80,1,,
medium-81,1,,
medium-85,1,,
medium-86,1,,
medium-87,1,,
medium-88,1,,
medium-9,1,,
medium-90,1,,
medium-91,1,,
medium-93,1,,
medium-94,1,,
medium-96,1,,
medium-97,1,,
medium-98,1,,
small-1,1,,
small-10,1,,
small-100,1,,
small-101,1,,
small-102,1,,
small-103,1,,
small-104,1,,
small-105,1,,
small-107,1,,
small-108,1,,
small-109,1,,
small-110,1,,
small-111,1,,
small-112,1,,
small-113,1,,
small-115,1,,
small-118,1,,
small-12,1,,
small-120,1,,
small-121,1,,
small-122,1,,
small-123,1,,
small-124,1,,
small-125,1,,
small-127,1,,
small-128,1,,
small-13,1,,
small-131,1,,
small-132,1,,
small-135,1,,
small-137,1,,
small-138,1,,
small-139,1,,
small-14,1,,
small-140,1,,
small-142,1,,
small-143,1,,
small-144,1,,
small-145,1,,
small-146,1,,
small-147,1,,
small-148,1,,
small-149,1,,
small-151,1,,
small-152,1,,
small-153,1,,
small-154,1,,
small-156,1,,
small-157,1,,
small-158,1,,
small-159,1,,
small-160,1,,
small-162,1,,
small-163,1,,
small-164,1,,
small-165,1,,
small-167,1,,
small-168,1,,
small-169,1,,
small-170,1,,
small-171,1,,
small-172,1,,
small-173,1,,
small-174,1,,
small-175,1,,
small-177,1,,
small-178,1,,
small-180,1,,
small-181,1,,
small-183,1,,
small-184,1,,
small-185,1,,
small-187,1,,
small-188,1,,
small-189,1,,
small-190,1,,
small-192,1,,
small-193,1,,
small-194,1,,
small-195,1,,
small-197,1,,
small-2,1,,
small-20,1,,
small-201,1,,
small-202,1,,
small-203,1,,
small-204,1,,
small-205,1,,
small-206,1,,
small-207,1,,
small-208,1,,
small-209,1,,
small-213,1,,
small-214,1,,
small-215,1,,
small-217,1,,
small-218,1,,
small-219,1,,
small-22,1,,
small-220,1,,
small-221,1,,
small-222,1,,
small-223,1,,
small-224,1,,
small-225,1,,
small-226,1,,
small-227,1,,
small-229,1,,
small-23,1,,
small-230,1,,
small-232,1,,
small-235,1,,
small-236,1,,
small-238,1,,
small-24,1,,
small-240,1,,
small-241,1,,
small-243,1,,
small-244,1,,
small-245,1,,
small-246,1,,
small-247,1,,
small-248,1,,
small-249,1,,
small-25,1,,
small-250,1,,
small-252,1,,
small-254,1,,
small-255,1,,
small-256,1,,
small-257,1,,
small-259,1,,
small-26,1,,
small-261,1,,
small-262,1,,
small-264,1,,
small-265,1,,
small-267,1,,
small-268,1,,
small-269,1,,
small-27,1,,
small-270,1,,
small-271,1,,
small-273,1,,
small-275,1,,
small-276,1,,
small-279,1,,
small-28,1,,
small-280,1,,
small-281,1,,
small-282,1,,
small-283,1,,
small-284,1,,
small-285,1,,
small-286,1,,
small-289,1,,
small-29,1,,
small-290,1,,
small-292,1,,
small-293,1,,
small-294,1,,
small-295,1,,
small-296,1,,
small-297,1,,
small-298,1,,
small-299,1,,
small-3,1,,
small-30,1,,
small-300,1,,
small-302,1,,
small-303,1,,
small-31,1,,
small-32,1,,
small-33,1,,
small-34,1,,
small-35,1,,
small-36,1,,
small-37,1,,
small-38,1,,
small-4,1,,
small-40,1,,
small-42,1,,
small-44,1,,
small-46,1,,
small-47,1,,
small-48,1,,
small-49,1,,
small-5,1,,
small-50,1,,
small-51,1,,
small-52,1,,
small-53,1,,
small-54,1,,
small-55,1,,
small-56,1,,
small-57,1,,
small-58,1,,
small-59,1,,
small-6,1,,
small-60,1,,
small-61,1,,
small-62,1,,
small-64,1,,
small-65,1,,
small-66,1,,
small-67,1,,
small-68,1,,
small-69,1,,
small-70,1,,
small-71,1,,
small-73,1,,
small-74,1,,
small-75,1,,
small-76,1,,
small-78,1,,
small-79,1,,
small-8,1,,
small-80,1,,
small-83,1,,
small-84,1,,
small-85,1,,
small-87,1,,
small-88,1,,
small-9,1,,
small-90,1,,
small-91,1,,
small-92,1,,
small-93,1,,
small-94,1,,
small-95,1,,
small-96,1,,
small-97,1,,
small-98,1,,
